a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,s,t,u,v,w
"60005",6,"Hourglass","* Exclusive Tournament prize","",500,"","{}",1,80,"iap_badge_hourglass.webp","iap_badge_hourglass_preview.webp","iap_badge_hourglass_54x54.webp","","","","","","",-1,0,"",""
"612",6,"Clap Along","Heyo\, put your hands together!","",250,"","{}",0,564,"iap_badge_clap.webp","iap_badge_clap_preview.webp","iap_badge_clap_54x54.webp","","","","","","",-1,0,"",""
"725",6,"Xmas Badge 2020**","A stunning noble fir for the foyer","",1500,"","{}",1,220,"iap_badge_xmastree2.webp","iap_badge_xmastree2_preview.webp","iap_badge_xmastree2_54x54.webp","","","","","","",-1,0,"",""
"972",7,"Pixel Xmas","* Exclusive Tournament prize","",3000,"","{}",1,820,"iap_banner_pixelxmas.webp","iap_banner_pixelxmas_asset.webp","","iap_banner_pixelxmas_asset.webp","","","","","",-1,0,"",""
"2008",8,"Red Force","Embrace the Red Force (special fx & sfx)","",7500,"pool","{}",0,426,"iap_game_pool_redforce.webp","iap_game_pool_redforce_preview.webp","","","","","","","",1008,0,"",""
"60224",6,"Honey Bunny**","Hop hop little bunny","",500,"","{}",1,1393,"iap_badge_honeyrabbit.webp","iap_badge_honeyrabbit_preview.webp","iap_badge_honeyrabbit_54x54.webp","","","","","","",-1,0,"",""
"60260",6,"Message Bottle Badge","* Exclusive Tournament Prize!","",1000,"","{}",1,1625,"iap_badge_messagebottle.webp","iap_badge_messagebottle_preview.webp","iap_badge_messagebottle_54x54.webp","","","","","","",-1,0,"",""
"11000",8,"Castle Theme","Join the knights in a journey through castles of days gone by","",1000,"ludo","{}",0,1492,"iap_game_ludo_castle.webp","iap_game_ludo_castle_preview.webp","","","","","","","",1000,0,"",""
"20080",1,"The Keeper","Let your arrows fly true and your foes be ever in your sights","",2500,"","{}",0,1277,"iap_frame_huntress2.webp","iap_frame_huntress2_preview.webp","","iap_frame_huntress2_350x350.webp","","","","","",-1,0,"","under"
"60077",6,"Henna*","Temporary transfiguration","",250,"","{}",1,548,"iap_badge_henna.webp","iap_badge_henna_preview.webp","iap_badge_henna_54x54.webp","","","","","","",-1,0,"",""
"60140",6,"The Anomaly","I know Kung Fu","",500,"","{}",0,900,"iap_badge_neo.webp","iap_badge_neo_preview.webp","iap_badge_neo_54x54.webp","","","","","","",-1,0,"",""
"2500",8,"Cyberverse Table","Overthrow the machines and free your mind","",6000,"pool","{}",0,881,"iap_game_pool_matrix.webp","iap_game_pool_matrix_preview.webp","","","","","","","",10000,0,"",""
"2523",8,"Sand Castle Table","Build the sand castles of your dreams","",3000,"pool","{}",0,1652,"iap_game_pool_sandcastle.webp","iap_game_pool_sandcastle_preview.webp","","","","","","","",10023,0,"",""
"4069",8,"Red Rebel","* Exclusive Ocho Tournament prize!","",5000,"crazy8","{}",1,528,"iap_game_crazy8_redrebel.webp","iap_game_crazy8_redrebel_preview.webp","","","","","","","",1069,0,"",""
"4087",8,"Fall Plaid","* Exclusive Ocho Tournament prize!","",5000,"crazy8","{}",1,718,"iap_game_crazy8_fallplaid.webp","iap_game_crazy8_fallplaid_preview.webp","","","","","","","",1087,0,"",""
"60192",6,"Farvashi","* Exclusive Tournament Prize","",1000,"","{}",1,1146,"iap_badge_ahuramazda.webp","iap_badge_ahuramazda_preview.webp","iap_badge_ahuramazda_54x54.webp","","","","","","",-1,0,"",""
"675",6,"Peach","This is not a peach","",1000,"","{}",0,332,"iap_badge_peach.webp","iap_badge_peach_preview.webp","iap_badge_peach_54x54.webp","","","","","","",-1,0,"",""
"764",6,"Fantasy Kingdom","* Exclusive Tournament prize","",1000,"","{}",1,246,"iap_badge_castle.webp","iap_badge_castle_preview.webp","iap_badge_castle_54x54.webp","","","","","","",-1,0,"",""
"60165",6,"Black Rose","* Exclusive Tournament prize","",1000,"","{}",1,1011,"iap_badge_blackrose.webp","iap_badge_blackrose_preview.webp","iap_badge_blackrose_54x54.webp","","","","","","",-1,0,"",""
"60177",6,"Virgo*","Born between August 23 - September 22","",250,"","{}",1,1075,"iap_badge_virgo.webp","iap_badge_virgo_preview.webp","iap_badge_virgo_54x54.webp","","","","","","",-1,0,"",""
"19003",4,"Video Tape Bubble","Be kind. Never forget to rewind","",2500,"","{}",0,1062,"iap_videotape_item.webp","iap_videotape_preview_3.webp","iap_videotape_item_54x54.webp","iap_videotape_asset.png","#f3e5e4","#a56876","#00767d","#f3e5e4","",-1,0,"",""
"4103",8,"Ancient Dragons","Dragons symbolize excellent power and good luck","",2000,"crazy8","{}",0,893,"iap_game_crazy8_dragons.webp","iap_game_crazy8_dragons_preview.webp","","","","","","","",1103,0,"",""
"11005",8,"Candlelight Dinner","Spending time with those you love is best done by candlelight","",2500,"ludo","{}",0,998,"iap_game_ludo_candlelightdinner.webp","iap_game_ludo_candlelightdinner_preview.webp","","","","","","","",1005,0,"",""
"5005",8,"Disco Ball","Stay alive and keep groovin","",1000,"basketball","{}",0,743,"iap_game_basketball_discoball.webp","iap_game_basketball_discoball_preview.webp","","","","","","","",1005,0,"",""
"29090",7,"Cinderella Story","* Exclusive Tournament Prize!","",4000,"","{}",1,1556,"iap_banner_cinderellastory.webp","iap_banner_cinderellastory_asset.webp","","iap_banner_cinderellastory_asset.webp","","","","","",-1,0,"",""
"29091",7,"Lost Island**","Lose yourself in this tropical paradise","",3000,"","{}",1,1568,"iap_banner_lostisland.webp","iap_banner_lostisland_asset.webp","","iap_banner_lostisland_asset.webp","","","","","",-1,0,"",""
"699",6,"Mother Earth**","Home sweet home","",500,"","{}",1,1347,"iap_badge_earth.webp","iap_badge_earth_preview.webp","iap_badge_earth_54x54.webp","","","","","","",-1,0,"",""
"2048",8,"Pegasus","Ride on the legendary steed of Perseus! (special sound fx)","",5000,"pool","{}",0,432,"iap_game_pool_pegasus.webp","iap_game_pool_pegasus_preview.webp","","","","","","","",1048,0,"",""
"4089",8,"Plato's 5th Card**","All your favorite Plato games in one card","",2000,"crazy8","{}",1,761,"iap_game_crazy8_plato5th.webp","iap_game_crazy8_plato5th_preview.webp","","","","","","","",1089,0,"",""
"8017",8,"Eyeball*","It stares unblinkingly for eternity","",4000,"bowling","{}",1,676,"iap_game_bowling_ball_eyeball.webp","iap_game_bowling_ball_eyeball_preview.webp","","","","","","","",1017,0,"",""
"952",7,"Crawling Dead*","Not even walking is safe","",2500,"","{}",1,671,"iap_banner_crawlingdead.webp","iap_banner_crawlingdead_anim.webp","","iap_banner_crawlingdead_anim.webp","","","","","",-1,0,"",""
"2141",8,"Persepolis Cue**","Break your cues often? Here's our thickest from Persepolis (special sound fx)","",6000,"pool","{}",1,1136,"iap_game_pool_persepoliscue_2.webp","iap_game_pool_persepoliscue_preview_2.webp","","","","","","","",1141,0,"",""
"20125",1,"I'm Not Looking","Sometimes what you're looking for comes when you're not looking at all","",100,"","{}",0,1020,"iap_frame_notlooking.webp","iap_frame_notlooking_preview.webp","","iap_frame_notlooking_350x350.webp","","","","","",-1,0,"","over"
"60010",6,"Buttface","* Exclusive Tournament prize","",500,"","{}",1,75,"iap_badge_buttface.webp","iap_badge_buttface_preview.webp","iap_badge_buttface_54x54.webp","","","","","","",-1,0,"",""
"19021",4,"Platoamp Bubble**","This music player really whips!","",5000,"","{}",1,1225,"iap_platoamp_item.webp","iap_platoamp_preview.webp","iap_platoamp_item_54x54.webp","iap_platoamp_asset.png","#03bd06","#e55d00","#e55d00","#00dbd3","",-1,0,"",""
"20101",1,"Zombie Hat","* Exclusive Tournament prize","",10000,"","{}",1,687,"iap_frame_zombie.webp","iap_frame_zombie_preview.webp","","iap_frame_zombie_350x350.webp","","","","","",-1,0,"","over"
"863",7,"Earth Dawn**","It's a new day","",5000,"","{}",1,1356,"iap_banner_earthdawn.webp","iap_banner_earthdawn_anim.webp","","iap_banner_earthdawn_anim.webp","","","","","",-1,0,"",""
"2173",8,"Squid Skewer","* Exclusive Pool Tournament Prize!","",4000,"pool","{}",1,1685,"iap_game_pool_squidskewer.webp","iap_game_pool_squidskewer_preview.webp","","","","","","","",1173,0,"",""
"4122",8,"Goldfish Card","They will happily accompany you while you play Ocho","",2000,"crazy8","{}",0,1134,"iap_game_crazy8_goldfish.webp","iap_game_crazy8_goldfish_preview.webp","","","","","","","",1122,0,"",""
"7012",8,"Gold Cup Pong*","You'll always be at the end of the rainbow with this sticker in Cup Pong","",500,"cuppong","{}",1,227,"iap_game_cuppong_potofgold.webp","iap_game_cuppong_potofgold_preview.webp","","","","","","","",1012,0,"",""
"20046",1,"Valentine's**","Happy Valentine's Day 2021!","",200,"","{}",1,975,"iap_frame_valentine.webp","iap_frame_valentine_preview.webp","","iap_frame_valentine_350x350.webp","","","","","",-1,0,"","over"
"60276",6,"Atlantean Goblet","Perfect choice for wine lovers who favor an old-world aesthetic","",250,"","{}",0,1720,"iap_badge_atlanteangoblet.webp","iap_badge_atlanteangoblet_preview.webp","iap_badge_atlanteangoblet_54x54.webp","","","","","","",-1,1,"",""
"705",6,"Trickster*","How about a magic trick?","",500,"","{}",1,174,"iap_badge_trickster.webp","iap_badge_trickster_preview.webp","iap_badge_trickster_54x54.webp","","","","","","",-1,0,"",""
"818",7,"Aoi","Aoi the priestess is always here for your troubles","",500,"","{}",0,351,"iap_banner_aoi.webp","iap_banner_aoi_asset.webp","","iap_banner_aoi_asset.webp","","","","","",-1,0,"",""
"19060",4,"Sandcastle Bubble","Like a sand castle\, all is temporary. Enjoy life now!","",1500,"","{}",0,1639,"iap_sandcastle_item.webp","iap_sandcastle_preview.webp","iap_sandcastle_item_54x54.webp","iap_sandcastle_asset.png","#ffe5b4","#ffe540","#913511","#ffe540","",-1,0,"",""
"20034",1,"Snowman Outfit**","Bundle up tight with this hat & frame","",2000,"","{}",1,181,"iap_frame_snowman.webp","iap_frame_snowman_preview.webp","","iap_frame_snowman_350x350.webp","","","","","",-1,0,"","over"
"29069",7,"Eid Drum","* Exclusive Tournament Prize!","",3500,"","{}",1,1435,"iap_banner_ramadandrum.webp","iap_banner_ramadandrum_asset.webp","","iap_banner_ramadandrum_asset.webp","","","","","",-1,0,"",""
"141",4,"Toilet Paper","3-ply and extra quilted!","",2500,"","{}",0,309,"iap_toiletpaper_item.webp","iap_toiletpaper_preview.webp","iap_toiletpaper_item_54x54.webp","iap_toiletpaper_asset.png","#35261C","#B6784C","#A28068","#088EEB","",-1,0,"",""
"2062",8,"Black Panther**","Wakanda forever (special sound fx)","",5000,"pool","{}",1,1549,"iap_game_pool_panther.webp","iap_game_pool_panther_preview.webp","","","","","","","",1062,0,"",""
"8008",8,"Rose Ball","Fall in love with this Rose Ball in Bowling","",750,"bowling","{}",0,973,"iap_game_bowling_ball_rose.webp","iap_game_bowling_ball_rose_preview.webp","","","","","","","",1007,0,"",""
"29024",7,"Dachshund's Dream","A dachshund flying in the sky","",1500,"","{}",0,1213,"iap_banner_dachshund.webp","iap_banner_dachshund_asset.webp","","iap_banner_dachshund_asset.webp","","","","","",-1,0,"",""
"19051",4,"Survival Saw Bubble**","Handcrafted for a fast clean cut","",5000,"","{}",1,1567,"iap_survivalsaw_item.webp","iap_survivalsaw_preview.webp","iap_survivalsaw_item_54x54.webp","iap_survivalsaw_asset.png","#d32525","#3b3ec8","#374fba","#eda424","",-1,0,"",""
"113",4,"Pizza","Pew pew! Change your chat bubbles into a Blaster","",1000,"","{}",0,732,"iap_blaster_item.webp","iap_blaster_preview.webp","iap_blaster_item_54x54.webp","iap_blaster_asset.png","#FFFFFF","#FFFFFF","#FFD226","#BFFF22","",-1,0,"",""
"696",6,"Space Shuttle*","To infinity & beyond","",250,"","{}",1,109,"iap_badge_spaceshuttle.webp","iap_badge_spaceshuttle_preview.webp","iap_badge_spaceshuttle_54x54.webp","","","","","","",-1,0,"",""
"981",7,"Lion Dancing**","The legend of Nian","",5000,"","{}",1,915,"iap_banner_liondance_2.webp","iap_banner_liondance_asset.webp","","iap_banner_liondance_asset.webp","","","","","",-1,0,"",""
"4076",8,"Malayan Tiger*","Macam harimau","",1000,"crazy8","{}",1,591,"iap_game_crazy8_tiger.webp","iap_game_crazy8_tiger_preview.webp","","","","","","","",1076,0,"",""
"2068",8,"Sandwich Cue","A footlong for under $5 (special sound fx)","",2500,"pool","{}",0,1040,"iap_game_pool_sandwich.webp","iap_game_pool_sandwich_preview.webp","","","","","","","",1068,0,"",""
"20032",1,"Santa Hat**","Honor St. Nick with this hat","",500,"","{}",1,185,"iap_frame_santahat.webp","iap_frame_santahat_preview.webp","","iap_frame_santahat_350x350.webp","","","","","",-1,0,"","over"
"1056",8,"The Smileys**","Play as The Smileys in Table Soccer (special sound fx)","",6000,"tablesoccer","{}",1,1233,"iap_game_tablesoccer_thesmileys.webp","iap_game_tablesoccer_thesmileys_preview.webp","","","","","","","",56,0,"",""
"3005",8,"Titans","Flip ranks of adjacent cards","",2750,"legions","{}",0,518,"iap_game_legions_titan.webp","iap_game_legions_titan_preview.webp","","","","","","","",1005,0,"",""
"4000",8,"Boxed Cats*","If it fits you sits with these cuddly card backs in Ocho","",2500,"crazy8","{}",1,1158,"iap_game_crazy8_boxedcats.webp","iap_game_crazy8_boxedcats_preview.webp","","","","","","","",1000,0,"",""
"60045",6,"Eiffel Tower Badge*","Vouloir\, c’est pouvoir","",500,"","{}",1,494,"iap_badge_eiffel.webp","iap_badge_eiffel_preview.webp","iap_badge_eiffel_54x54.webp","","","","","","",-1,0,"",""
"29070",7,"Iftar Cannon","* Exclusive Tournament Prize!","",3500,"","{}",1,1432,"iap_banner_iftarcannon.webp","iap_banner_iftarcannon_asset.webp","","iap_banner_iftarcannon_asset.webp","","","","","",-1,0,"",""
"60207",6,"Please Wait...**","Please feel free to wait forever... ","",500,"","{}",1,1251,"iap_badge_pointertime.webp","iap_badge_pointertime_preview.webp","iap_badge_pointertime_54x54.webp","","","","","","",-1,0,"",""
"514",10,"Zodiac Badges Bundle","Instantly unlocks all 12 Zodiac Signs badges","",2500,"","{}",0,1099,"iap_bundle_zodiac_badges.webp","iap_bundle_zodiac_badges_preview.webp","","","","","","","",-1,0,"",""
"4160",8,"City of the Depths","Atlantis\, a kingdom of underwater mystery and wonder","",750,"crazy8","{}",0,1696,"iap_game_crazy8_cityofthedepths.webp","iap_game_crazy8_cityofthedepths_preview.webp","","","","","","","",1160,1,"",""
"8051",8,"Artifact: Trident Orb","Exclusive Tournament Prize - Atlantean Artifact #9","",6000,"bowling","{}",1,1733,"iap_game_bowling_ball_tridentorb.webp","iap_game_bowling_ball_tridentorb_preview.webp","","","","","","","",1051,1,"",""
"29007",7,"Arcana Fungi","* Exclusive Tournament prize","",3500,"","{}",1,1114,"iap_banner_arcanafungi.webp","iap_banner_arcanafungi_asset.webp","","iap_banner_arcanafungi_asset.webp","","","","","",-1,0,"",""
"20175",1,"Castaway Frame**","You survived a shipwreck and now you are stranded on a deserted island","",3000,"","{}",1,1570,"iap_frame_castaway.webp","iap_frame_castaway_preview.webp","","iap_frame_castaway_350x350.webp","","","","","",-1,0,"","over"
"60163",6,"Chemical Love**","Love isn't an option\, it's a chemical reaction","",500,"","{}",1,1008,"iap_badge_chemicalove.webp","iap_badge_chemicalove_preview.webp","iap_badge_chemicalove_54x54.webp","","","","","","",-1,0,"",""
"199",4,"Chocobar Bubble**","When it comes to chocolate\, resistance is futile","",10000,"","{}",1,999,"iap_chocobar_item.webp","iap_chocobar_preview.webp","iap_chocobar_item_54x54.webp","iap_chocobar_asset.png","#f4e9d7","#f8d77f","#712013","#f48278","",-1,0,"",""
"628",6,"Bloody Cleaver*","Whack! Guess what's for dinner?!","",250,"","{}",1,302,"iap_badge_cleaver.webp","iap_badge_cleaver_preview.webp","iap_badge_cleaver_54x54.webp","","","","","","",-1,0,"",""
"932",7,"Coq Gaulois*","Alllez les Bleus!","",1000,"","{}",1,500,"iap_banner_frenchrooster.webp","iap_banner_frenchrooster_asset.webp","","iap_banner_frenchrooster_asset.webp","","","","","",-1,0,"",""
"19017",4,"Dogs Bubble","* Exclusive 2022 Cat vs Dog Prize!","",10000,"","{}",1,1175,"iap_doghouse_item.webp","iap_doghouse_preview.webp","iap_doghouse_item_54x54.webp","iap_doghouse_asset.png","#d98f37","#9a9a9a","#9a9a9a","#aaea53","",-1,0,"",""
"787",6,"Treefrog**","You won't find this frog under a log","",500,"","{}",1,1530,"iap_badge_treefrog.webp","iap_badge_treefrog_preview.webp","iap_badge_treefrog_54x54.webp","","","","","","",-1,0,"",""
"2155",8,"Sparkler Cue**","Wave your sparklers like a child","",10000,"pool","{}",1,1398,"iap_game_pool_sparkler.webp","iap_game_pool_sparkler_preview.webp","","","","","","","",1155,0,"",""
"7011",8,"Emerald Barf*","Commemorate the day the snakes were driven from Cup Pong with this sticker","",250,"cuppong","{}",1,228,"iap_game_cuppong_emeraldbarf.webp","iap_game_cuppong_emeraldbarf_preview.webp","","","","","","","",1011,0,"",""
"182",4,"Fall Leaves*","A yearly reminder that we all must change","",5000,"","{}",1,737,"iap_fallleaves_item.webp","iap_fallleaves_preview.webp","iap_fallleaves_item_54x54.webp","iap_fallleaves_asset_2.png","#FFFFFF","#FFE093","#FEB300","#C0DE4A","",-1,0,"",""
"60020",6,"Non-Binary","A non-binary symbol collectable name badge","",100,"","{}",0,442,"iap_badge_nonbinary.webp","iap_badge_nonbinary_preview.webp","iap_badge_nonbinary_54x54.webp","","","","","","",-1,0,"",""
"60109",6,"Acoustic Guitar*","La práctica hace al maestro","",250,"","{}",1,649,"iap_badge_guitar.webp","iap_badge_guitar_preview.webp","iap_badge_guitar_54x54.webp","","","","","","",-1,0,"",""
"846",7,"Animal Kingdom","Hang out with your new best friends","",1500,"","{}",0,1532,"iap_banner_kingdom.webp","iap_banner_kingdom_asset.webp","","iap_banner_kingdom_asset.webp","","","","","",-1,0,"",""
"60011",6,"Doggo Yoga","* Exclusive Tournament prize","",500,"","{}",1,74,"iap_badge_doggoyoga.webp","iap_badge_doggoyoga_preview.webp","iap_badge_doggoyoga_54x54.webp","","","","","","",-1,0,"",""
"804",7,"Doki Doki**","Feel two hearts beating as one. Hazukashi...","",1000,"","{}",1,959,"iap_banner_dokidoki.webp","iap_banner_dokidoki_asset.webp","","iap_banner_dokidoki_asset.webp","","","","","",-1,0,"",""
"2164",8,"Hunting Arrow**","This arrow is designed to pierce the heart of it's target","",6000,"pool","{}",1,1565,"iap_game_pool_lostarrow.webp","iap_game_pool_lostarrow_preview.webp","","","","","","","",1164,0,"",""
"4009",8,"Fyre","Engulf your competition in Ocho","",750,"crazy8","{}",0,1267,"iap_game_crazy8_fyre.webp","iap_game_crazy8_fyre_preview.webp","","","","","","","",1009,0,"",""
"20020",1,"Cool Shades","Have fun in the sun with these shades","",500,"","{}",0,1628,"iap_frame_coolshades.webp","iap_frame_coolshades_preview.webp","","iap_frame_coolshades_350x350.webp","","","","","",-1,0,"","over"
"888",7,"Friendly Greetings*","After 2020\, what do we really have to lose?","",500,"","{}",1,182,"iap_banner_friendlygreetings.webp","iap_banner_friendlygreetings_asset.webp","","iap_banner_friendlygreetings_asset.webp","","","","","",-1,0,"",""
"2031",8,"Jester Stick*","Whoops!","",1500,"pool","{}",1,51,"iap_game_pool_jester.webp","iap_game_pool_jester_preview.webp","","","","","","","",1031,0,"",""
"603",6,"Pool Shark","Rack 'em up and show you're the pool shark","",250,"","{}",0,328,"iap_badge_pool.webp","iap_badge_pool_preview.webp","iap_badge_pool_54x54.webp","","","","","","",-1,0,"",""
"658",6,"Lion Dance**","He protec\, but he also attac","",500,"","{}",1,859,"iap_badge_liondance.webp","iap_badge_liondance_preview.webp","iap_badge_liondance_54x54.webp","","","","","","",-1,0,"",""
"845",7,"Into the Wild","What wonders await?","",1500,"","{}",0,707,"iap_banner_intothewild.webp","iap_banner_intothewild_asset.webp","","iap_banner_intothewild_asset.webp","","","","","",-1,0,"",""
"20196",1,"Ruins of Atlantis","Discover the lost city of Atlantis and be captivated by its ruins","",1000,"","{}",0,1723,"iap_frame_atlantisrunes.webp","iap_frame_atlantisrunes_preview.webp","","iap_frame_atlantisrunes_350x350.webp","","","","","",-1,1,"","over"
"909",7,"Golden Vault","* Exclusive Tournament prize","",1500,"","{}",1,217,"iap_banner_goldenvault.webp","iap_banner_goldenvault_asset.webp","","iap_banner_goldenvault_asset.webp","","","","","",-1,0,"",""
"1023",8,"Prime Eagle","* Exclusive Tournament prize!","",5000,"tablesoccer","{}",1,56,"iap_game_tablesoccer_primeeagle.webp","iap_game_tablesoccer_primeeagle_preview.webp","","","","","","","",23,0,"",""
"9002",8,"Elfini","A light earth monster who heals their trainer over time

*More details in the Monsterpedia","",2750,"match3battle","{}",0,449,"iap_game_match3battle_elfini_1.webp","iap_game_match3battle_elfini_preview_1.webp","","","","","","","",801,0,"",""
"60183",6,"Pisces*","Born between February 19 - March 20","",250,"","{}",1,1069,"iap_badge_pisces.webp","iap_badge_pisces_preview.webp","iap_badge_pisces_54x54.webp","","","","","","",-1,0,"",""
"610",6,"Queeeeen**","You know you're the baddest royal out there","",5000,"","{}",1,1501,"iap_badge_queen.webp","iap_badge_queen_preview.webp","iap_badge_queen_54x54.webp","","","","","","",-1,0,"",""
"4022",8,"Big Santa**","You've been good enough this year","",1500,"crazy8","{}",1,197,"iap_game_crazy8_bigsanta.png","iap_game_crazy8_bigsanta_preview.png","","","","","","","",1022,0,"",""
"11009",8,"Sky Fortress","Take control of the skies and conquer the other elements","",3000,"ludo","{}",0,1306,"iap_game_ludo_elements.webp","iap_game_ludo_elements_preview.webp","","","","","","","",1009,0,"",""
"60240",6,"Terraforce Badge**","Pledge your loyalty to Terraforce","",4000,"","{}",1,1472,"iap_badge_terraforce.webp","iap_badge_terraforce_preview.webp","iap_badge_terraforce_54x54.webp","","","","","","",-1,0,"",""
"2526",8,"Submarine Table","Dive deep into the ocean with this submarine and explore the mysteries of Atlantis!","",6000,"pool","{}",0,1725,"iap_game_pool_submarine_2.webp","iap_game_pool_submarine_preview_2.webp","","","","","","","",10026,1,"",""
"8021",8,"Thai Elephant Ball**","Get the strength of an elephant with just one throw","",4000,"bowling","{}",1,1329,"iap_game_bowling_ball_thaielephant.webp","iap_game_bowling_ball_thaielephant_preview.webp","","","","","","","",1021,0,"",""
"11004",8,"Panda Valley","Hike through a mystical bamboo forest and discover the valley's cuddliest creature","",2500,"ludo","{}",0,913,"iap_game_ludo_panda.webp","iap_game_ludo_panda_preview.webp","","","","","","","",1004,0,"",""
"20096",1,"Dracula Frame*","Best way to promote your OnlyFangs account","",3500,"","{}",1,666,"iap_frame_dracula.webp","iap_frame_dracula_preview.webp","","iap_frame_dracula_350x350.webp","","","","","",-1,0,"","over"
"29000",7,"Twosday**","Twosday only happens once... Make it amazing","",4444,"","{}",1,1027,"iap_banner_twosday.webp","iap_banner_twosday_preview.webp","","iap_banner_twosday_asset.webp","","","","","",-1,0,"",""
"118",4,"Lettuce","Change your chat bubbles to green","",100,"","{}",0,307,"iap_greenbubble_item.webp","iap_greenbubble_preview.webp","iap_greenbubble_item_54x54.webp","iap_greenbubble_asset.png","#522104","#522104","#FFFFFF","#40A7FD","",-1,0,"",""
"4068",8,"X Marks the Spot","Finders keepers","",750,"crazy8","{}",0,856,"iap_game_crazy8_xmarksspot.webp","iap_game_crazy8_xmarksspot_preview.webp","","","","","","","",1068,0,"",""
"4094",8,"Snow Pals**","For the coldest season of the year comes a friendship that warms you up","",2000,"crazy8","{}",1,779,"iap_game_crazy8_snowpals.webp","iap_game_crazy8_snowpals_preview.webp","","","","","","","",1094,0,"",""
"20039",1,"Confetti","Let everyone know you know how to party with this frame","",500,"","{}",0,721,"iap_frame_confetti.webp","iap_frame_confetti_preview.webp","","iap_frame_confetti_350x350.webp","","","","","",-1,0,"","over"
"2035",8,"Witch's Broom*","Sweep the table with this cue in Pool","",1500,"pool","{}",1,152,"iap_game_pool_witchbroom.webp","iap_game_pool_witchbroom_preview.webp","","","","","","","",1035,0,"",""
"132",4,"Turkey Feast*","Delicious! Change your chat bubble to a Turkey Feast","",1000,"","{}",1,141,"iap_turkeybubble_item.webp","iap_turkeybubble_preview.webp","iap_turkeybubble_item_54x54.webp","iap_turkeybubble_asset.png","#FFFFFF","#DF1111","#921A1A","#BFFF22","",-1,0,"",""
"755",6,"Poker Champ","* Exclusive Tournament prize","",1000,"","{}",1,166,"iap_badge_pokerchamp.webp","iap_badge_pokerchamp_preview.webp","iap_badge_pokerchamp_54x54.webp","","","","","","",-1,0,"",""
"1044",8,"Plato FC**","Play as our favorite philosopher in Table Soccer","",5000,"tablesoccer","{}",1,763,"iap_game_tablesoccer_plato.webp","iap_game_tablesoccer_plato_preview.webp","","","","","","","",44,0,"",""
"2018",8,"Odin's Spear","Wield Gungnir\, the mythical staff of Odin in Pool","",2500,"pool","{}",0,419,"iap_game_pool_odinspear.webp","iap_game_pool_odinspear_preview.webp","","","","","","","",1019,0,"",""
"778",6,"platOS Badge*","The invisible code of chaos hiding behind the menacing face of order","",750,"","{}",1,271,"iap_badge_platos2.webp","iap_badge_platos2_preview.webp","iap_badge_platos2_54x54.webp","","","","","","",-1,0,"",""
"2087",8,"Python**","The one that slithers against the earth (special sound fx)","",5000,"pool","{}",1,1553,"iap_game_pool_python.webp","iap_game_pool_python_preview.webp","","","","","","","",1087,0,"",""
"20111",1,"2022 Hat**","It's 2022. Let's have a celebration tonight!","",10000,"","{}",1,826,"iap_frame_2022.webp","iap_frame_2022_preview.webp","","iap_frame_2022_350x350.webp","","","","","",-1,0,"","over"
"784",6,"Ketupat*","Makan longtong!","",250,"","{}",1,267,"iap_badge_ketupat.webp","iap_badge_ketupat_preview.webp","iap_badge_ketupat_54x54.webp","","","","","","",-1,0,"",""
"953",7,"Papa Pumpkin*","He doesn't preach","",1000,"","{}",1,670,"iap_banner_papapumpkin.webp","iap_banner_papapumpkin_asset.webp","","iap_banner_papapumpkin_asset.webp","","","","","",-1,0,"",""
"2133",8,"Silver Rose","* Exclusive Pool Tournament prize","",7500,"pool","{}",1,1017,"iap_game_pool_silverose.webp","iap_game_pool_silverose_preview.webp","","","","","","","",1133,0,"",""
"60128",6,"Plato 5th Badge**","5 years and going strong","",700,"","{}",1,757,"iap_badge_plato5th.webp","iap_badge_plato5th_preview.webp","iap_badge_plato5th_54x54.webp","","","","","","",-1,0,"",""
"4056",8,"Ibiza","That feeling","",1000,"crazy8","{}",0,1622,"iap_game_crazy8_ibiza.webp","iap_game_crazy8_ibiza_preview.webp","","","","","","","",1056,0,"",""
"19023",4,"Flamewalker Bubble","* Exclusive Elements 2022 Reward","",10000,"","{}",1,1304,"iap_flamewalker_item.webp","iap_flamewalker_preview.webp","iap_flamewalker_item_54x54.webp","iap_flamewalker_asset.png","#fdc65a","#ff9d47","#ff1700","#ff9d47","",-1,0,"",""
"20068",1,"Pride Frame*","Everyone is welcome here","",2500,"","{}",1,445,"iap_frame_pride.webp","iap_frame_pride_preview.webp","","iap_frame_pride_350x350.webp","","","","","",-1,0,"","over"
"60191",6,"Amu Nowruz","* Exclusive Tournament Prize","",1000,"","{}",1,1147,"iap_badge_amunowruz.webp","iap_badge_amunowruz_preview.webp","iap_badge_amunowruz_54x54.webp","","","","","","",-1,0,"",""
"911",7,"Hari Raya 2021*","Selamat Hari Raya Aidilfitri!","",500,"","{}",1,13,"iap_banner_hariraya.webp","iap_banner_hariraya_asset.webp","","iap_banner_hariraya_asset.webp","","","","","",-1,0,"",""
"19067",4,"Artifact: Atlantean Shield","* Exclusive Tournament Prize - Atlantean Artifact #8","",7500,"","{}",1,1728,"iap_atlanteanshield_item.webp","iap_atlanteanshield_preview.webp","iap_atlanteanshield_item_54x54.webp","iap_atlanteanshield_asset.png","#fff046","#202dcf","#202dcf","#51ffe4","",-1,1,"",""
